,g/h,l,m,res_lon[deg],dg[nT],g[nT],"dist_min, Leeds","G_dist[deg/nT], Leeds","dist_min, Dunedin","G_dist[deg/nT], Dunedin","dist_min, Edmonton","G_dist[deg/nT], Edmonton","dist_min, Salekhard","G_dist[deg/nT], Salekhard"
187,g,9.0,7.0,0.5,594.1215927420043,602.9215927420042,12.982356031882125,3.277489598759201e-05,11.681226670071485,6.708693675974337e-05,1.9732034441419648,-3.7123038584959423e-06,0.7691098191031852,-1.3040935920650443e-06
188,h,9.0,7.0,0.5,-594.1215927420043,-593.7215927420043,12.982356031882125,-2.6175921259604916e-06,11.681226670071485,-7.710552885165744e-05,1.9732034441419648,-4.1882622044050726e-05,0.7691098191031852,6.655902055995953e-06
189,h,9.0,7.0,0.5,594.1215927420043,594.5215927420043,12.982356031882125,-2.43931570571845e-06,11.681226670071485,-7.69386122622032e-05,1.9732034441419648,-4.205106170526355e-05,0.7691098191031852,6.644818554586587e-06
190,g,9.0,8.0,0.5,-594.1215927420043,-603.4215927420042,12.982356031882125,6.946339598296995e-06,11.681226670071485,1.5482748636725168e-05,1.9732034441419648,-1.1011854130310508e-05,0.7691098191031852,-1.235249857489542e-06
191,g,9.0,8.0,0.5,594.1215927420043,584.8215927420043,12.982356031882125,6.939382447016564e-06,11.681226670071485,1.5577019790969797e-05,1.9732034441419648,-1.102461924933579e-05,0.7691098191031852,-1.235788194928408e-06
192,h,9.0,8.0,0.5,-594.1215927420043,-595.5215927420043,12.982356031882125,-7.289663625096071e-07,11.681226670071485,-2.6571795233840015e-05,1.9732034441419648,6.123729276472083e-06,0.7691098191031852,3.0231125823480835e-07
193,h,9.0,8.0,0.5,594.1215927420043,592.7215927420043,12.982356031882125,-7.200407437117588e-07,11.681226670071485,-2.6616804752538473e-05,1.9732034441419648,6.1697610405962476e-06,0.7691098191031852,3.0319614719521485e-07
194,g,9.0,9.0,0.5,-594.1215927420043,-606.0215927420043,12.982356031882125,9.346480528020778e-07,11.681226670071485,1.9723708926847603e-06,1.9732034441419648,1.8592057240269847e-06,0.7691098191031852,-9.525951152190456e-08
195,g,9.0,9.0,0.5,594.1215927420043,582.2215927420043,12.982356031882125,9.344809258656018e-07,11.681226670071485,1.976627829635074e-06,1.9732034441419648,1.8591552618905772e-06,0.7691098191031852,-9.52560596167682e-08
196,h,9.0,9.0,0.5,-594.1215927420043,-584.5215927420043,12.982356031882125,-1.1280585176643441e-07,11.681226670071485,-5.292673641113803e-06,1.9732034441419648,1.3801036484692955e-06,0.7691098191031852,-1.1838913275857765e-07
