,g/h,l,m,res_lon[deg],dg[nT],g[nT],loncN[deg],latcN[deg],loncS[deg],latcS[deg],G_N_centroid[deg/nT],G_S_centroid[deg/nT],G_N_centroid_lon[deg/nT],G_S_centroid_lon[deg/nT],G_N_centroid_lat[deg/nT],G_S_centroid_lat[deg/nT]
186,g,9.0,7.0,0.5,-594.1215927420043,-585.3215927420043,-83.20129287802216,83.70103543669899,122.16413796493644,-75.20130105901194,-1.3029939847900313e-06,-4.241684920982721e-06,-1.30298397632537e-06,4.241683526512823e-06,4.317878208287143e-08,-6.701609170005072e-09
187,g,9.0,7.0,0.5,594.1215927420043,602.9215927420042,-83.20129287802216,83.70103543669899,122.16413796493644,-75.20130105901194,1.2406150577923319e-06,4.263679343839389e-06,-1.2405589693135516e-06,4.261213890108812e-06,9.949127350271651e-08,-2.723273165761247e-07
188,h,9.0,7.0,0.5,-594.1215927420043,-593.7215927420043,-83.20129287802216,83.70103543669899,122.16413796493644,-75.20130105901194,-5.413103906460976e-07,-6.191904398815226e-07,-5.393988763374006e-07,-5.022450385235061e-07,-3.8400789066968805e-07,-6.802716303723649e-07
189,h,9.0,7.0,0.5,594.1215927420043,594.5215927420043,-83.20129287802216,83.70103543669899,122.16413796493644,-75.20130105901194,4.786772688418406e-07,6.982349856445092e-07,-4.77101607134739e-07,-4.835357492754077e-07,-3.2778185419661227e-07,-9.462155986703995e-07
190,g,9.0,8.0,0.5,-594.1215927420043,-603.4215927420042,-83.20129287802216,83.70103543669899,122.16413796493644,-75.20130105901194,-4.718204808973468e-08,-4.287088133831561e-08,-4.6934774609825285e-08,1.209847818356652e-08,-4.083001225110768e-08,-7.728257331739566e-08
191,g,9.0,8.0,0.5,594.1215927420043,584.8215927420043,-83.20129287802216,83.70103543669899,122.16413796493644,-75.20130105901194,4.387078087510878e-08,5.266297809262757e-08,-4.360776105155247e-08,1.2040636749066385e-08,-3.834965062102934e-08,-9.6284390833489e-08
192,h,9.0,8.0,0.5,-594.1215927420043,-595.5215927420043,-83.20129287802216,83.70103543669899,122.16413796493644,-75.20130105901194,-1.179594969565098e-07,-4.626628527754451e-07,1.1795718170660921e-07,-4.6258694726966914e-07,-9.250075921062526e-09,1.5751967744861157e-08
193,h,9.0,8.0,0.5,594.1215927420043,592.7215927420043,-83.20129287802216,83.70103543669899,122.16413796493644,-75.20130105901194,1.2129121985759118e-07,4.6264946224673084e-07,1.2128639015339838e-07,-4.626448703879011e-07,-6.768469851887372e-09,-3.2440181985956756e-09
194,g,9.0,9.0,0.5,-594.1215927420043,-606.0215927420043,-83.20129287802216,83.70103543669899,122.16413796493644,-75.20130105901194,-6.891778747797653e-09,-3.418815183698768e-08,7.020362340949227e-09,-3.415080267389689e-08,-5.998666456974996e-10,5.545566676951487e-10
195,g,9.0,9.0,0.5,594.1215927420043,582.2215927420043,-83.20129287802216,83.70103543669899,122.16413796493644,-75.20130105901194,7.040006001128524e-09,3.421834005641207e-08,7.090527709822023e-09,-3.420234577841271e-08,-5.574759462022238e-10,3.6824126584953086e-11
196,h,9.0,9.0,0.5,-594.1215927420043,-584.5215927420043,-83.20129287802216,83.70103543669899,122.16413796493644,-75.20130105901194,-2.0322746799240667e-09,-4.978035982991967e-09,2.2144661574716893e-09,-3.759083353257314e-09,2.8400027590432262e-09,6.777048437661514e-09
197,h,9.0,9.0,0.5,594.1215927420043,603.7215927420043,-83.20129287802216,83.70103543669899,122.16413796493644,-75.20130105901194,2.4890179914959835e-09,5.181304124956673e-09,2.283974349029151e-09,-3.810099926590514e-09,2.8824063987724452e-09,6.259339743895573e-09
198,g,10.0,0.0,0.5,-798.9992443331042,-800.8992443331042,-83.20129287802216,83.70103543669899,122.16413796493644,-75.20130105901194,-0.00013564069160430006,-0.000221960275710642,0.00012382370571901446,1.7599107735441782e-05,0.0004711695953153235,0.0004157158234180081
199,g,10.0,0.0,0.5,798.9992443331042,797.0992443331043,-83.20129287802216,83.70103543669899,122.16413796493644,-75.20130105901194,0.00012110998696800619,0.0002056419477982396,0.00010939277277892517,1.7575608340060537e-05,0.0004362205165394524,0.0003848052995513795
200,g,10.0,1.0,0.5,-798.9992443331042,-805.1992443331043,-83.20129287802216,83.70103543669899,122.16413796493644,-75.20130105901194,-0.004611086462583174,-0.0007722538515635504,0.00461108610644941,-0.0007634657722150376,-2.258961746775928e-05,0.0002164069273901723
201,g,10.0,1.0,0.5,798.9992443331042,792.7992443331042,-83.20129287802216,83.70103543669899,122.16413796493644,-75.20130105901194,0.004569672052317078,0.0007292874671388264,0.004569670446581904,-0.0007184563143400269,-2.6134638310261585e-05,0.00023712849149797955
202,h,10.0,1.0,0.5,-798.9992443331042,-795.5992443331043,-83.20129287802216,83.70103543669899,122.16413796493644,-75.20130105901194,-0.0005056180189454836,-0.0004823469456969663,0.0005040635370288383,-0.0004410844517372064,0.00034498581831951015,-0.00036490098525762796
203,h,10.0,1.0,0.5,798.9992443331042,802.3992443331042,-83.20129287802216,83.70103543669899,122.16413796493644,-75.20130105901194,0.0005945373214313892,0.0005184216000975888,0.0005926291592034722,-0.00048778951386332274,0.00038880399069039556,-0.00033159176227724616
